order_id,customer_id,order_date,status,region_code
1,63.0,2025-04-17 04:10:45,SHIPPED,NORTH
2,108.0,2024-11-25 06:42:20,PLACED,SOUTH
3,353.0,2026-05-01 16:44:50,PLACED,WEST
4,130.0,2024-09-28 20:29:28,DELIVERED,EAST
5,,2025-12-03 04:47:00,CANCELLED,WEST
6,297.0,2025-01-25 19:54:39,CANCELLED,SOUTH
7,391.0,2026-06-12 19:13:27,SHIPPED,WEST
8,234.0,2025-05-24 06:01:19,RETURNED,WEST
9,155.0,2025-12-22 05:47:24,SHIPPED,WEST
10,81.0,2024-08-29 11:12:55,PLACED,WEST
11,226.0,2024-11-02 03:00:59,PLACED,WEST
12,138.0,2025-02-03 22:58:44,CANCELLED,NORTH
13,381.0,2025-12-07 06:17:58,RETURNED,NORTH
14,258.0,2026-04-20 22:12:22,SHIPPED,SOUTH
15,270.0,2025-02-24 11:34:45,CANCELLED,NORTH
16,443.0,2025-11-20 21:38:11,DELIVERED,WEST
17,208.0,2024-10-27 19:52:10,PLACED,SOUTH
18,58.0,2025-03-10 12:57:08,SHIPPED,WEST
19,168.0,2024-10-08 21:09:07,DELIVERED,NORTH
20,168.0,2024-12-21 14:05:23,PLACED,SOUTH
21,282.0,2024-12-26 19:55:06,SHIPPED,SOUTH
22,338.0,2025-05-08 02:10:19,RETURNED,NORTH
23,100.0,2026-04-02 14:36:51,RETURNED,WEST
24,9.0,2026-07-04 20:06:42,CANCELLED,NORTH
25,196.0,2026-07-07 19:35:34,CANCELLED,EAST
26,497.0,2024-08-22 11:53:12,CANCELLED,WEST
27,225.0,2026-05-18 23:06:21,CANCELLED,EAST
28,374.0,2024-09-16 22:09:35,CANCELLED,EAST
29,350.0,2024-12-25 13:37:01,RETURNED,EAST
30,214.0,2024-12-16 02:01:55,SHIPPED,WEST
31,217.0,2025-09-28 22:57:53,RETURNED,SOUTH
32,417.0,2024-12-15 12:43:28,CANCELLED,EAST
33,98.0,2025-07-16 12:32:40,PLACED,SOUTH
34,127.0,2026-06-25 09:16:09,SHIPPED,SOUTH
35,232.0,2024-07-30 00:37:11,PLACED,WEST
36,247.0,2024-12-26 23:50:49,DELIVERED,EAST
37,319.0,2025-10-02 10:31:35,CANCELLED,WEST
38,415.0,2025-08-23 03:13:39,RETURNED,WEST
39,225.0,2025-03-13 10:13:35,RETURNED,SOUTH
40,368.0,2024-09-15 22:17:53,DELIVERED,EAST
41,39.0,2025-03-07 19:00:15,CANCELLED,SOUTH
42,71.0,2026-07-14 18:31:34,SHIPPED,WEST
43,477.0,2025-02-14 07:12:27,RETURNED,NORTH
44,339.0,2026-01-08 03:42:46,DELIVERED,NORTH
45,31.0,2025-08-27 11:22:27,PLACED,SOUTH
